x,y,z
0.050000,0.440000,1.446000
0.050000,0.460000,1.464000
0.050000,0.480000,1.482000
0.050000,0.500000,1.500000
0.050000,0.520000,1.518000
0.050000,0.540000,1.536000
0.050000,0.560000,1.554000
0.050000,0.580000,1.572000
0.050000,0.600000,1.590000
0.050000,0.620000,1.608000
0.050000,0.640000,1.626000
0.050000,0.660000,1.644000
0.050000,0.680000,1.662000
0.050000,0.700000,1.680000
0.050000,0.720000,1.698000
0.050000,0.740000,1.716000
0.050000,0.760000,1.734000
0.050000,0.780000,1.752000
0.050000,0.800000,1.770000
0.050000,0.820000,1.788000
0.050000,0.840000,1.806000
0.050000,0.860000,1.824000
0.050000,0.880000,1.842000
0.050000,0.900000,1.860000
0.050000,0.920000,1.878000
0.050000,0.940000,1.896000
0.050000,0.960000,1.914000
0.050000,0.980000,1.932000
0.050000,1.000000,1.950000
0.060000,0.000000,1.060000
0.060000,0.020000,1.077600
0.060000,0.040000,1.095200
0.060000,0.060000,1.112800
0.060000,0.080000,1.130400
0.060000,0.100000,1.148000
0.060000,0.120000,1.165600
0.060000,0.140000,1.183200
0.060000,0.160000,1.200800
0.060000,0.180000,1.218400
0.060000,0.200000,1.236000
0.060000,0.220000,1.253600
0.060000,0.240000,1.271200
0.060000,0.260000,1.288800
0.060000,0.280000,1.306400
0.060000,0.300000,1.324000
0.060000,0.320000,1.341600
0.060000,0.340000,1.359200
0.060000,0.360000,1.376800
0.060000,0.380000,1.394400
0.060000,0.400000,1.412000
0.060000,0.420000,1.429600
0.060000,0.440000,1.447200
0.060000,0.460000,1.464800
0.060000,0.480000,1.482400
0.060000,0.500000,1.500000
0.060000,0.520000,1.517600
0.060000,0.540000,1.535200
0.060000,0.560000,1.552800
0.060000,0.580000,1.570400
0.060000,0.600000,1.588000
0.060000,0.620000,1.605600
0.060000,0.640000,1.623200
0.060000,0.660000,1.640800
0.060000,0.680000,1.658400
0.060000,0.700000,1.676000
0.060000,0.720000,1.693600
0.060000,0.740000,1.711200
0.060000,0.760000,1.728800
0.060000,0.780000,1.746400
0.060000,0.800000,1.764000
0.060000,0.820000,1.781600
0.060000,0.840000,1.799200
0.060000,0.860000,1.816800
0.060000,0.880000,1.834400
0.060000,0.900000,1.852000
0.060000,0.920000,1.869600
0.060000,0.940000,1.887200
0.060000,0.960000,1.904800
0.060000,0.980000,1.922400
0.060000,1.000000,1.940000
0.070000,0.000000,1.070000
0.070000,0.020000,1.087200
0.070000,0.040000,1.104400
0.070000,0.060000,1.121600
0.070000,0.080000,1.138800
0.070000,0.100000,1.156000
0.070000,0.120000,1.173200
0.070000,0.140000,1.190400
0.070000,0.160000,1.207600
0.070000,0.180000,1.224800
0.070000,0.200000,1.242000
0.070000,0.220000,1.259200
0.070000,0.240000,1.276400
0.070000,0.260000,1.293600
0.070000,0.280000,1.310800
0.070000,0.300000,1.328000
0.070000,0.320000,1.345200
0.070000,0.340000,1.362400
0.070000,0.360000,1.379600
0.070000,0.380000,1.396800
0.070000,0.400000,1.414000
0.070000,0.420000,1.431200
0.070000,0.440000,1.448400
0.070000,0.460000,1.465600
0.070000,0.480000,1.482800
0.070000,0.500000,1.500000
0.070000,0.520000,1.517200
0.070000,0.540000,1.534400
0.070000,0.560000,1.551600
0.070000,0.580000,1.568800
0.070000,0.600000,1.586000
0.070000,0.620000,1.603200
0.070000,0.640000,1.620400
0.070000,0.660000,1.637600
0.070000,0.680000,1.654800
0.070000,0.700000,1.672000
0.070000,0.720000,1.689200
0.070000,0.740000,1.706400
0.070000,0.760000,1.723600
0.070000,0.780000,1.740800
0.070000,0.800000,1.758000
0.070000,0.820000,1.775200
0.070000,0.840000,1.792400
0.070000,0.860000,1.809600
0.070000,0.880000,1.826800
0.070000,0.900000,1.844000
0.070000,0.920000,1.861200
0.070000,0.940000,1.878400
0.070000,0.960000,1.895600
0.070000,0.980000,1.912800
0.070000,1.000000,1.930000
0.080000,0.000000,1.080000
0.080000,0.020000,1.096800
0.080000,0.040000,1.113600
0.080000,0.060000,1.130400
0.080000,0.080000,1.147200
0.080000,0.100000,1.164000
0.080000,0.120000,1.180800
0.080000,0.140000,1.197600
0.080000,0.160000,1.214400
0.080000,0.180000,1.231200
0.080000,0.200000,1.248000
0.080000,0.220000,1.264800
0.080000,0.240000,1.281600
0.080000,0.260000,1.298400
0.080000,0.280000,1.315200
0.080000,0.300000,1.332000
0.080000,0.320000,1.348800
0.080000,0.340000,1.365600
0.080000,0.360000,1.382400
0.080000,0.380000,1.399200
0.080000,0.400000,1.416000
0.080000,0.420000,1.432800
0.080000,0.440000,1.449600
0.080000,0.460000,1.466400
